m2,dzielnica,ilość_sypialni,ilość_łazienek,rok_budowy,parking_podziemny,cena
104,mokotowo,2,2,1940,1,780094
43,ochotowo,1,1,1970,1,346912
128,grodziskowo,3,2,1916,1,523466
112,mokotowo,3,2,1920,1,830965
149,mokotowo,3,3,1977,0,1090479
80,ochotowo,2,2,1937,0,599060
58,ochotowo,2,1,1922,0,463639
23,ochotowo,1,1,1929,0,166785
40,mokotowo,1,1,1973,0,318849
138,mokotowo,3,2,2011,0,1011395
69,wolowo,2,1,1921,0,429462
136,ochotowo,3,2,1982,0,1051608
107,wolowo,2,2,1915,1,563473
120,wolowo,3,2,2015,0,620449
140,ochotowo,3,3,2003,1,1097777
80,ochotowo,2,2,1949,1,645200
107,ochotowo,2,2,1926,0,776122
66,wolowo,2,1,1977,0,367862
49,grodziskowo,1,1,1932,1,257190
141,mokotowo,3,3,1972,0,1010002
90,grodziskowo,2,2,1958,0,381594
125,ochotowo,3,2,2006,1,980560
60,grodziskowo,2,1,1932,0,291748
94,ochotowo,2,2,1941,0,788216
142,ochotowo,3,3,1981,1,1064711
104,mokotowo,2,2,1945,0,758000
96,ochotowo,2,2,1966,0,652028
111,grodziskowo,3,2,1984,0,515061
67,ochotowo,2,1,1957,1,505024
123,grodziskowo,3,2,1913,1,479861
143,grodziskowo,3,3,2010,0,550903
15,wolowo,1,1,1997,0,112635
53,wolowo,1,1,1935,1,291166
17,ochotowo,1,1,1933,1,128308
110,wolowo,3,2,1950,1,629152
109,grodziskowo,2,2,1988,0,482861
41,mokotowo,1,1,1939,0,330775
102,grodziskowo,2,2,1933,0,453511
27,mokotowo,1,1,1966,0,232030
57,mokotowo,2,1,1975,0,392325
62,grodziskowo,2,1,1999,1,306354
121,ochotowo,3,2,1961,1,922621
83,wolowo,2,2,1937,0,452189
132,mokotowo,3,2,1979,1,994035
62,mokotowo,2,1,1951,1,488394
50,ochotowo,1,1,1975,1,384485
15,ochotowo,1,1,1915,0,105554
64,ochotowo,2,1,1969,1,496032
69,mokotowo,2,1,1952,1,528212
34,grodziskowo,1,1,1925,1,156820
69,wolowo,2,1,1912,1,390186
76,grodziskowo,2,2,1917,0,331698
16,mokotowo,1,1,1977,0,135225
93,mokotowo,2,2,2003,0,712851
89,grodziskowo,2,2,1954,1,402870
83,ochotowo,2,2,1955,0,637259
121,wolowo,3,2,2002,1,660215
99,grodziskowo,2,2,1913,0,434946
34,ochotowo,1,1,1987,1,252762
145,mokotowo,3,3,1987,1,1050412
28,ochotowo,1,1,1986,0,210945
49,ochotowo,1,1,1970,0,348694
44,ochotowo,1,1,1928,1,402507
115,wolowo,3,2,1978,0,612483
122,ochotowo,3,2,1956,0,921607
67,grodziskowo,2,1,1986,0,285502
62,mokotowo,2,1,1993,1,517526
91,grodziskowo,2,2,1994,1,388359
71,ochotowo,2,2,2000,1,531316
16,mokotowo,1,1,1996,1,145113
24,ochotowo,1,1,1943,1,178450
51,wolowo,1,1,1944,0,326025
67,mokotowo,2,1,1959,0,444404
23,grodziskowo,1,1,2000,1,121212
132,wolowo,3,2,1937,0,648685
135,mokotowo,3,2,1914,1,1003388
87,mokotowo,2,2,1997,0,670914
108,wolowo,2,2,1954,0,598889
65,wolowo,2,1,1960,0,351276
133,wolowo,3,2,1951,1,765570
62,grodziskowo,2,1,1939,0,304487
75,mokotowo,2,2,2008,1,501649
145,ochotowo,3,3,1977,1,1097512
55,ochotowo,2,1,1996,0,447175
36,ochotowo,1,1,1966,0,298909
114,wolowo,3,2,1964,0,622525
58,ochotowo,2,1,1914,1,447540
78,ochotowo,2,2,2007,0,558557
110,mokotowo,3,2,1918,1,811992
31,grodziskowo,1,1,1993,1,121541
117,mokotowo,3,2,1997,1,899364
47,grodziskowo,1,1,1943,0,186982
47,mokotowo,1,1,1916,0,341128
101,mokotowo,2,2,1999,1,791987
66,wolowo,2,1,1989,0,394355
20,wolowo,1,1,1997,0,131412
110,wolowo,3,2,1997,0,573502
81,wolowo,2,2,1931,0,410531
130,grodziskowo,3,2,2001,0,574496
49,grodziskowo,1,1,2013,0,218913
41,ochotowo,1,1,1984,0,350428
50,grodziskowo,1,1,1924,1,224330
135,wolowo,3,2,1928,0,692160
55,grodziskowo,2,1,1925,0,251394
21,grodziskowo,1,1,1961,1,125855
44,wolowo,1,1,1928,0,265549
40,mokotowo,1,1,1917,0,305315
21,grodziskowo,1,1,1957,0,109205
25,ochotowo,1,1,1947,1,190482
44,wolowo,1,1,1964,0,245476
128,grodziskowo,3,2,1917,0,531676
75,grodziskowo,2,2,1943,1,357668
92,wolowo,2,2,1966,0,496512
19,wolowo,1,1,1955,1,140709
143,wolowo,3,3,1953,1,744412
110,ochotowo,3,2,1923,0,768728
46,wolowo,1,1,1922,0,248627
15,ochotowo,1,1,1977,1,102572
124,mokotowo,3,2,1958,1,958576
65,ochotowo,2,1,1926,1,467368
26,ochotowo,1,1,1947,0,186215
39,grodziskowo,1,1,1912,0,220255
87,grodziskowo,2,2,1989,1,375026
27,ochotowo,1,1,1990,1,219743
116,mokotowo,3,2,1976,1,903464
139,ochotowo,3,2,1945,0,1102309
76,ochotowo,2,2,1928,1,608600
52,ochotowo,1,1,1935,1,417857
39,mokotowo,1,1,1920,1,325748
79,wolowo,2,2,2004,0,408778
45,wolowo,1,1,1964,0,245951
112,wolowo,3,2,1998,1,697385
107,wolowo,2,2,1942,1,546285
85,ochotowo,2,2,1999,0,637666
75,grodziskowo,2,2,1917,1,345360
34,wolowo,1,1,1915,1,248413
51,ochotowo,1,1,1990,0,354607
73,wolowo,2,2,1973,0,389649
15,wolowo,1,1,1929,1,130641
146,ochotowo,3,3,1970,0,1100513
83,mokotowo,2,2,2004,0,630450
72,mokotowo,2,2,1950,0,558903
26,mokotowo,1,1,1963,1,222816
148,mokotowo,3,3,1946,0,1073106
125,wolowo,3,2,1988,1,708477
59,mokotowo,2,1,1921,1,447209
136,ochotowo,3,2,1958,1,1053417
69,grodziskowo,2,1,1919,1,303070
49,grodziskowo,1,1,1928,1,203537
35,grodziskowo,1,1,2005,0,180304
135,wolowo,3,2,1927,0,707922
27,ochotowo,1,1,1926,0,166705
111,wolowo,3,2,1988,0,585887
76,ochotowo,2,2,2009,0,580572
66,wolowo,2,1,1922,1,387258
59,grodziskowo,2,1,1921,1,274187
71,grodziskowo,2,2,1961,1,362964
57,wolowo,2,1,2002,1,353300
29,wolowo,1,1,1925,1,199711
113,mokotowo,3,2,1994,1,862815
69,grodziskowo,2,1,1992,1,339335
59,ochotowo,2,1,1966,1,457874
39,grodziskowo,1,1,1934,1,172921
130,ochotowo,3,2,1937,0,1020122
122,mokotowo,3,2,2011,1,910244
130,mokotowo,3,2,1984,0,869327
89,grodziskowo,2,2,1992,0,373949
106,wolowo,2,2,1958,0,587051
119,mokotowo,3,2,2004,1,945500
98,grodziskowo,2,2,1935,1,388396
145,ochotowo,3,3,1999,0,1094328
67,grodziskowo,2,1,1924,1,352334
56,mokotowo,2,1,1957,0,407464
106,grodziskowo,2,2,1975,0,418013
83,ochotowo,2,2,1967,0,589086
140,wolowo,3,3,1928,1,769378
72,mokotowo,2,2,1950,0,514881
109,ochotowo,2,2,1958,1,813248
136,wolowo,3,2,1989,0,675146
70,mokotowo,2,2,2004,1,523261
71,wolowo,2,2,1971,1,390050
139,mokotowo,3,2,2000,1,990671
140,wolowo,3,3,2001,1,801478
104,wolowo,2,2,1959,0,546701
18,mokotowo,1,1,1943,0,102990
135,ochotowo,3,2,1983,1,1074079
37,grodziskowo,1,1,1955,0,124960
143,wolowo,3,3,1917,1,777308
109,mokotowo,2,2,1999,0,819635
73,mokotowo,2,2,1986,1,528828
32,grodziskowo,1,1,2010,1,191494
69,mokotowo,2,1,2006,1,507364
78,mokotowo,2,2,1998,0,599801
106,wolowo,2,2,2000,1,603670
71,ochotowo,2,2,1972,1,615854
54,mokotowo,1,1,1992,1,378830
35,grodziskowo,1,1,1985,1,169832
107,grodziskowo,2,2,1935,0,473181
117,grodziskowo,3,2,1978,1,431076
56,wolowo,2,1,1923,0,308321
